Isolate_00005	LCSB5
Isolate_00010	LCSB10
Isolate_00023	LCSB23
Isolate_00028	LCSB28
Isolate_00033	LCSB33
Isolate_00062	LCSB62
Isolate_00064	LCSB64
Isolate_00065	LCSB65
Isolate_00073	LCSB73
Isolate_00102	LCSB102
Isolate_00160B	LCSB160B
Isolate_00164	LCSB164
Isolate_00201	LCSB201
Isolate_00204	LCSB204
Isolate_00204C	LCSB204C
Isolate_00212C	LCSB212C
Isolate_00214	LCSB214
Isolate_00216B	LCSB216B
Isolate_00249	LCSB249
Isolate_00252A	LCSB252A
Isolate_00254	LCSB254
Isolate_00255	LCSB255
Isolate_00260	LCSB260
Isolate_00261	LCSB261
Isolate_00350B	LCSB350B
Isolate_00351B	LCSB351B
Isolate_00352A	LCSB352A
Isolate_00353A	LCSB353A
Isolate_00357B	LCSB357B
Isolate_00400	LCSB400
Isolate_00401	LCSB401
Isolate_00403	LCSB403
Isolate_00406	LCSB406
Isolate_00408	LCSB408
Isolate_00410	LCSB410
Isolate_00455	LCSB455
Isolate_00457	LCSB457
Isolate_00462B	LCSB462B
Isolate_00501	LCSB501
Isolate_00514	LCSB514
Isolate_00522	LCSB522
Isolate_00528	LCSB528
Isolate_00536	LCSB536
Isolate_00539	LCSB539
Isolate_00541	LCSB541
Isolate_00547	LCSB547
Isolate_00548	LCSB548
Isolate_00556	LCSB556
Isolate_00565	LCSB565
Isolate_00575	LCSB575
Isolate_00577	LCSB577
Isolate_00589	LCSB589
Isolate_00591	LCSB591
Isolate_00592	LCSB592
Isolate_00601	LCSB601
Isolate_00604	LCSB604
Isolate_00607	LCSB607
Isolate_00608	LCSB608
Isolate_00610	LCSB610
Isolate_00611	LCSB611
Isolate_00660	LCSB660
Isolate_00663	LCSB663
Isolate_00667	LCSB667
Isolate_00701	LCSB701
Isolate_00750	LCSB750
Isolate_00751	LCSB751
Isolate_00752	LCSB752
Isolate_00810	LCSB810
Isolate_00814	LCSB814
Isolate_00908	LCSB908
Isolate_01055	LCSB1055
Isolate_01056	LCSB1056
Isolate_01060	LCSB1060
