isolate	2010-10-04	2011-01-25	2011-10-05	2011-10-12	2012-01-11
Isolate_00005	2.3424650659863944	0.2859741030075188	0.8160353065693431	0.8554109732394366	0.7812429248275862
Isolate_00010	0.808542252851711	0.22998680005952382	0.4207323543778802	0.4511479592274678	0.39640013694915255
Isolate_00023	1.3679775098039215	0.17025743086419753	0.325970397752809	0.3593967494623656	0.44833586764705885
Isolate_00028	0.7420750064748202	0.09392172504950495	0.4217059386792453	0.38567194	0.30313065
Isolate_00033	0.6439066952577319	0.18738715616883117	0.3033930730693069	0.33096928770642203	0.398356639010989
Isolate_00052A	5.7334211565	0.7699520962734584	0.640026030965909	0.9644890808241758	1.0715484357664233
Isolate_00062	0.6476194085365854	0.17093226779661017	0.4787635952666667	0.5721899135483871	0.4501489567251462
Isolate_00064	2.3992752496855347	0.31161859315789475	0.8872060222222222	0.790774278	0.6760395268421052
Isolate_00065	0.47079918325581394	0.09910201178807947	0.17260254685714285	0.19751691576086958	0.24373326701030928
Isolate_00072A	0.22022268419753085	0.09884466710526316	0.1733104088607595	0.16722761904761904	0.35188518571428573
Isolate_00073	3.9617049695300834	0.5237543020979899	0.7158045479458918	0.9004367596072931	0.7226761770965517
Isolate_00102	2.6885239588235295	0.5483368310344827	0.7782274015625	0.86164675	0.7394645582089552
Isolate_00160B	0.7502506106060606	0.8229212361904762	0.17042476605504586	0.2985989965217391	0.33071933555555555
Isolate_00164	0.6576495433070866	0.16635245423728814	0.5643524047244094	0.6566394642857143	0.4817012909090909
Isolate_00201	4.142500846212122	1.7280891836363637	0.6801630773228347	0.5818653243609022	0.7269641878832117
Isolate_00201A	0.8519751578014184	0.15287808283898305	0.291095218582996	0.2609328861660079	0.28496586428015563
Isolate_00204	0.6807513333333334	0.10537878129032258	0.5573942150769231	0.42007004519480523	0.40737775848101265
Isolate_00204C	0.8996243863551402	0.22153598055045873	0.31528685074433654	0.35634199028213165	0.35988088066825774
Isolate_00212C	0.72617193375	0.15797599774647889	0.5839735204819277	0.8459686447058823	0.7356108894117647
Isolate_00214	0.60046632443478265	0.06733407798882682	0.172305424375	0.16324396712041886	0.20208506736842105
Isolate_00216B	0.4253139646808511	0.06607936247191011	0.1238973942857143	0.133637233125	0.14651957883495145
Isolate_00249	0.9006332024390243	0.12295466785714286	0.8507474413793102	0.68779475	0.5166528
Isolate_00252A	0.8650597586407767	0.17166074305555556	0.40813839239130434	0.37624112235294116	0.31722704891774894
Isolate_00253	1.1080709456456457	0.3803734250714967	0.3421164019619865	0.39204371990261716	0.4862514940074906
Isolate_00254	3.743793509120521	0.4261982896982759	0.6639229741666667	0.5388097594820717	0.6766576557246377
Isolate_00255	1.6187936549019608	0.6721425659090909	1.8900305617021276	1.8982653734693877	1.3944204361702128
Isolate_00259	1.9237359313131313	0.6486926923303835	1.5721528537170264	2.3406034060402683	4.269003275096525
Isolate_00260	0.7385661377049181	0.12250880169491525	0.6093762500000001	0.44495671746031745	0.3873121304225352
Isolate_00261	0.9449271242009133	0.10661774697674418	0.3402477785945946	0.3160241639361702	0.283101852893401
Isolate_00350B	0.5995509987179487	0.12411704770491803	0.3338569155555555	0.34976335	0.26076191267605636
Isolate_00351B	1.4306108857142856	0.8163681355263158	1.4565431333333334	2.136023571764706	1.4085753642857142
Isolate_00352A	0.955906634375	0.08213238366666667	0.762734167032967	0.4097737810989011	0.36924664979166666
Isolate_00352B	0.4234921462686567	0.03566564183333333	0.23970017948717948	0.26498638674603175	0.1587258175
Isolate_00353A	1.340738182	0.2569772101234568	0.7605065131707317	0.48511159879518073	0.571905816
Isolate_00353C	0.20949951658886895	0.09341958785544083	0.11696647369430344	0.12579833387755102	0.18080698455793992
Isolate_00354B	0.5480738542682927	0.07403086326086956	0.3129818824516129	0.3224885632876712	0.3011329181818182
Isolate_00357A	1.489980992633181	0.3130526847038917	0.3409097571125265	0.39141092746331235	0.513638687394958
Isolate_00357B	0.33423081603053434	0.06893625238938053	0.28162274678260873	0.26931344913793104	0.20851042630769231
Isolate_00400	0.32881607103448274	0.11064270725806452	0.16254266549295776	0.33359525869565215	0.4819959789473684
Isolate_00401	0.5191048146496815	0.06567265073770492	0.17421344298113206	0.20222809374531836	0.15362223777003484
Isolate_00403	1.132704684057971	0.35068963636363637	0.6983650096774193	0.943565911764706	1.4049505342857143
Isolate_00406	3.13060967979798	1.1293084647727274	1.3889250272727274	2.309180676842105	3.439409409375
Isolate_00408	4.502366089032258	0.460327353125	0.7611917759124087	0.9117868820689655	1.0915135801282052
Isolate_00410	2.4766570076923076	0.3238300072815534	0.9200698141630901	0.7798094208163265	0.7879744394904459
Isolate_00454A	2.175969190631579	0.5847840027972028	0.8814279016759776	1.3703162921465968	1.4516117345971564
Isolate_00455	13.241240475555555	1.0757329356962024	1.972350608719346	2.0415852238605896	2.3457330210784315
Isolate_00457	4.769403673188406	0.39310501315789476	1.917101754263566	1.47776850078125	1.2173009422818792
Isolate_00459D	2.2372665859375	0.3356113001754386	1.102225385882353	1.31163036328125	0.9684030135888502
Isolate_00462B	4.40463808	0.40522664941176473	1.883873345263158	1.932021043478261	0.987819994262295
Isolate_00501	0.6511057442307693	0.17163055675675676	0.21794008095238096	0.32021690454545454	0.22896285636363636
Isolate_00514	5.339982970817121	0.44667598854368934	2.2188796872246694	1.9495101976146787	1.3688954864541831
Isolate_00522	3.9260164313901345	0.3251318197714286	1.44812073025641	1.4201898443010754	0.8718105676328503
Isolate_00528	2.455188125084746	0.32590680970464136	0.9379730988281251	0.8133649116279069	0.6946894599369086
Isolate_00536	2.0993957616144976	0.3820034290697674	0.8870540639896373	0.8808232217391304	0.7041468008032128
Isolate_00539	2.7827547584615386	0.2512391154761905	0.318520325	0.3031968475694444	0.3830872951612903
Isolate_00541	1.5096205465185186	0.30509788221258133	0.6247884928695652	0.5641760892384106	0.5131638483500718
Isolate_00547	13.123480478451178	0.5482564147058824	1.645195666521739	1.420048009957806	1.6204761455172414
Isolate_00548	2.5662499542521995	0.31222345494252873	0.8050877541263941	0.7391489095272727	0.6921669495541402
Isolate_00556	5.9647846654605265	0.6710225892890995	1.1666332460728746	1.3510604412396694	1.8181974757462687
Isolate_00565	4.480870374812968	0.7524522858657244	1.1866481410344827	1.3985141297734627	1.4417020252873562
Isolate_00575	9.469097270944742	0.9377266225446429	1.2931624841121496	1.440256381098901	1.521042774159664
Isolate_00577	22.30458479456107	0.6891979314948453	1.9922474862116042	1.5519854622792937	1.9119468717747217
Isolate_00580	1.7945550588284171	0.3072322271805274	0.41129702827115083	0.39722810240837697	0.4303711393327842
Isolate_00589	15.136608056124315	0.948007579017094	2.022452877742279	2.28214141875	1.7065330345794394
Isolate_00591	3.1173692322709163	0.42847316027472526	0.8893224505759162	0.8502707567567568	0.7462390728888889
Isolate_00592	0.5853455193478261	0.20775380461538462	0.36316753289473686	0.3564478921052632	0.487821548
Isolate_00601	1.6857993429347826	0.2787678555932203	0.6666642539735099	0.6425467158024691	0.517303065479452
Isolate_00604	2.7376583170818507	0.30442590714285717	0.8967079816438356	0.8698807941176471	0.6105533381625442
Isolate_00607	2.67855044625	0.22360998590673575	0.9657732969543147	0.6799724576923077	0.6140488932751091
Isolate_00608	4.911611398550725	1.6899516481818182	0.6802414576923077	0.8022780141666667	1.5308647161538462
Isolate_00610	2.9007941367245658	0.3718891520295203	0.7603652261290322	0.7337898078767123	0.603303783
Isolate_00611	6.054333824840764	0.749914451984127	1.428229084108527	1.37762167556391	1.2519728080536914
Isolate_00660	6.386843393142858	0.3341934007142857	2.1293287034246573	1.4972763171794872	1.2243382595375722
Isolate_00663	2.7123869772020726	0.25748226886666664	0.920233525748503	1.004337756097561	0.6775979031746032
Isolate_00667	2.2515484546938773	0.17892633693877552	0.7529462746606335	0.7865323112682927	0.5835875816143498
Isolate_00701	2.6122572983480827	0.46022165550091076	1.2582736128960224	1.089999523861186	0.9822960424719102
Isolate_00750	0.7813053405827506	0.18206471638297872	0.254826461012987	0.286150794611399	0.3352241971729958
Isolate_00752	2.037225596039604	0.2664937387020649	0.6366632716094986	0.6285546505398457	0.5854164651991615
Isolate_00810	2.971194966666667	0.2830646653658537	1.019481650067114	1.1155778881290324	0.6889816644970415
Isolate_00814	1.4915997830188679	0.12373305082089552	0.6717149416236162	0.4355471996563574	0.39411371273333334
Isolate_00908	0.8337999974025974	0.20924853039215685	0.2331051671875	0.24114521983471074	0.5694317425149701
Isolate_01055	0.6458495701030927	0.1886537571830986	0.1697065092857143	0.20725884069767442	0.2591749606741573
Isolate_01056	22.974899124212598	0.6610231173602854	2.5262879185697806	1.6856409554404146	2.012456940965862
Isolate_01060	0.700577264	0.17570798548571429	0.19624483914893617	0.2080758775423729	0.34168958270440253
