isolate	2010-10-04	2011-01-25	2011-10-05	2011-10-12	2012-01-11
Isolate_00005	0.18183059751645958	0.06913642512886192	0.1183626238196426	0.11078118323168193	0.0830150176064999
Isolate_00010	0.012551675349098868	0.007681219458823001	0.009141442553578238	0.008507339138662945	0.007590045493198606
Isolate_00023	0.22879404032051845	0.07272742859205392	0.09462357577155661	0.09199785552227528	0.08778581501567402
Isolate_00028	0.044864240907049074	0.0213246541468633	0.027350457008453715	0.0260458788979056	0.022911816820000937
Isolate_00033	0.14103637285094203	0.08625160527672408	0.15299685020882642	0.14111732929135978	0.11734275027559034
Isolate_00052A	0.2981475986718918	0.1167468440324893	0.08937901996243727	0.10193473134134352	0.13555459221818753
Isolate_00062	0.030535542642738545	0.09558645010149532	0.08485509750691028	0.09133100120393031	0.10591682919018516
Isolate_00064	0.08660911794948975	0.06016392782863601	0.10919648639735502	0.09818525763617847	0.09068958036411567
Isolate_00065	0.022770775019600932	0.04948589001233298	0.03822428359846003	0.058931659601404285	0.04971544822289743
Isolate_00072A	0.023611848660072432	0.09063304229172	0.07830024163462994	0.09558277532795259	0.1168344637587219
Isolate_00073	0.05089592479960892	0.11498380925602249	0.10631789393375873	0.13051774935039917	0.15352400105723585
Isolate_00102	0.13732154740818953	0.1897010304477943	0.30043895984839075	0.29081047093377016	0.29952891844734303
Isolate_00160B	0.02977113750793705	0.015005223146101818	0.015864905310278152	0.01521556120467667	0.013435853319358029
Isolate_00164	0.055626534991387054	0.1511279823251541	0.1489978777383748	0.16451974551307652	0.17043351559716233
Isolate_00201	0.02636866318324212	0.013035776332836445	0.01810198625982339	0.017008848900500344	0.014940886965399898
Isolate_00201A	0.03384713267006203	0.013753339713991413	0.018705176324126275	0.016699764021563014	0.013828478516057821
Isolate_00204	0.1581364567157102	0.10091535186299733	0.21518678673995248	0.189156235803601	0.17138185896825966
Isolate_00204C	0.14654586469311476	0.09204650790234124	0.19961869911952243	0.17602892014274782	0.1609967817310566
Isolate_00212C	0.04781591857465765	0.1261535374503467	0.13577628460068658	0.2449747231754138	0.1823603536701193
Isolate_00214	0.021284900137371082	0.009756707698589284	0.014730873305794727	0.013483590390506688	0.011282584725636546
Isolate_00216B	0.024784140196051827	0.010386553688864663	0.014165405008802869	0.013469203773868827	0.009956966666771172
Isolate_00249	0.032978933535665125	0.11230584094411836	0.08953798627902097	0.10866353395964938	0.1314735309963772
Isolate_00252A	0.03482195770928382	0.08573034494279809	0.11235635423937113	0.12176199557056303	0.08764778466990192
Isolate_00253	0.06672954607501386	0.10925708062778132	0.10386342935249344	0.11640967376439668	0.131377724798715
Isolate_00254	0.035517326765479834	0.037987234229634646	0.019402563833614758	0.01910827391843107	0.014491514742214382
Isolate_00255	0.07623778438598136	0.26957964091984615	0.3139433449264238	0.2860112624284439	0.24686387362759094
Isolate_00259	0.5181795780531738	0.37057153232671736	0.8574611465144845	0.919643996923167	1.2196006612777355
Isolate_00260	0.026952392983151923	0.0910795175622629	0.0789085389382211	0.09859281745438922	0.12339245192271597
Isolate_00261	0.05297589817194133	0.013703667850438382	0.02358365331742667	0.019392207714727182	0.017838743898589072
Isolate_00350B	0.028287523153659462	0.01897473192068378	0.028979139310362174	0.025348054750870784	0.02440801101104287
Isolate_00351B	0.06725971338849485	0.24168725007480182	0.24382777928089602	0.27944775298954005	0.1777501860857957
Isolate_00352A	0.05472730412721578	0.034418037372506045	0.05807464222590881	0.05208414353199627	0.0483472334464396
Isolate_00352B	0.02033445058504004	0.025810855212606013	0.031738426989029324	0.033533014213693826	0.03516045730165511
Isolate_00353A	0.023272528238434675	0.01909404601566181	0.02711305857434887	0.025433538613547222	0.022074307907733702
Isolate_00353C	0.019634441083465754	0.02036499805605887	0.026666484148196584	0.02714063014179994	0.026617182264698985
Isolate_00354B	0.020201045966190295	0.027052645725692655	0.0322609321052631	0.03385652857857367	0.035761443573322574
Isolate_00357A	0.02481814358147436	0.04541060434797808	0.04444119583261643	0.046458817733714644	0.05066859351083951
Isolate_00357B	0.014325366516052642	0.04912170627080441	0.04329036028633367	0.05042348456306007	0.06221618257905547
Isolate_00400	0.018059731352069317	0.047687228964633066	0.038994383987759694	0.059551695478509185	0.05121752795831135
Isolate_00401	0.026780580969300943	0.012104211941687511	0.020326668933568895	0.018492900877229945	0.014695644366465244
Isolate_00403	0.4415164256249778	0.48403110537349103	0.7703828265610897	0.7730125344520002	1.266196393618123
Isolate_00406	0.7140723421378286	0.6563552167341388	0.8389486755899515	0.8649497549535147	1.0666917085550698
Isolate_00408	0.10974824934516034	0.016968033648106142	0.021976633512048618	0.017174510682775965	0.01852466276943649
Isolate_00410	0.035514337614034115	0.08142964730711144	0.127607581127451	0.1248795856255403	0.08521975123291943
Isolate_00454A	0.40312049907846337	0.49820712731714606	0.8539391952130394	0.842350114905724	0.891088375255162
Isolate_00455	0.7675328522231544	0.12684657612071465	0.11982073250870622	0.11272211218549688	0.14349522387803543
Isolate_00457	0.05375058015285894	0.15610019602125985	0.157144721770457	0.23888114399118618	0.20757598198187796
Isolate_00459D	0.0318870299652287	0.08014368200850015	0.1278506525567041	0.13193247290719876	0.09038941593067902
Isolate_00462B	0.10241496988675823	0.17380421768794432	0.20546613786915904	0.3074986723373139	0.18865327367028492
Isolate_00501	0.024799079679289918	0.01841009050421297	0.02689227903183949	0.02552639924717403	0.021138879599592573
Isolate_00514	0.016613812292603756	0.010681874178959728	0.010250937178310314	0.009546248546539357	0.00872333003231448
Isolate_00522	0.011101827330524814	0.006126547910427018	0.006392666942042937	0.005862922300783977	0.005601208186146766
Isolate_00528	0.04161417838311631	0.022724946566482582	0.03279247647538536	0.03042384896439121	0.026749857650019894
Isolate_00536	0.26089449469975834	0.8770344858602913	0.8523027911829503	0.6943658189069121	0.6145046534442439
Isolate_00539	0.06304794443499409	0.011762873498836108	0.013514058213489812	0.011274319561661665	0.012495379293119493
Isolate_00541	0.24106896466671188	0.40043484708767757	0.5488286910829626	0.5163813012613204	0.40497426337939985
Isolate_00547	0.035198576342629385	0.01163352104081909	0.011957031908223142	0.010065379822567064	0.01012619666731926
Isolate_00548	0.016313669378154705	0.009588577354660741	0.011235694127580704	0.010135067323524604	0.009904608736749953
Isolate_00556	0.0215675926980718	0.008189712869995876	0.008460357371575716	0.006920458507302353	0.007468886541214414
Isolate_00565	0.3305228016037296	0.8213743377023299	0.8783092909189368	0.7470830720329882	0.6586625770203098
Isolate_00575	0.7951200029960207	0.1403583498688357	0.1218536711391745	0.11618271345589007	0.15112168654534053
Isolate_00577	0.04411265176142483	0.015960452312139516	0.01808389184721614	0.01584894000959683	0.015276199662172646
Isolate_00580	0.2694073953806209	0.04945154017217993	0.03834353122138607	0.04078418997562673	0.05172398321043522
Isolate_00589	0.03691529076407543	0.012264920013396036	0.011748205495764436	0.010691055375390857	0.01075935835056909
Isolate_00591	0.019479239949897753	0.007271974508735662	0.006563382059175296	0.005860669285277546	0.005758175020746091
Isolate_00592	0.061000422125492254	0.21810501955994827	0.17990338875799028	0.22740723646377842	0.29564421329627866
Isolate_00601	0.04437505019249743	0.01753082766580722	0.027774058706130863	0.025805686296209118	0.01811473745485544
Isolate_00604	0.021180483266578645	0.007910849862175934	0.007723194316367911	0.007090209298258621	0.006756175729127903
Isolate_00607	0.03423803255348325	0.012287511163068313	0.011914716679835416	0.010217390585622925	0.010109362468427457
Isolate_00608	0.03739558206353034	0.015985957088351772	0.017554867046241023	0.01585491930175385	0.01498683337045669
Isolate_00610	0.017549536702168776	0.009893782902977915	0.011221256087380782	0.010225601726380503	0.009455676062133092
Isolate_00611	0.5379985134593033	0.10071284564952147	0.08558959096160969	0.07893895857851022	0.09173120448491655
Isolate_00660	0.02192140149081546	0.0113934313820611	0.011314066697421864	0.010466420320562775	0.009389605660237102
