isolate	2010-10-04	2011-01-25	2011-10-05	2011-10-12	2012-01-11
Isolate_00005	0.8949315868246429	0.37438361474181736	0.6437113710490968	0.5097432708197349	0.6571408021845868
Isolate_00010	0.15217388953156968	0.2976737604214064	0.11724961206399158	0.0898166849507903	0.14420289162373395
Isolate_00023	0.43291450881341753	0.24528694487489633	0.2916594783442964	0.2582834517410769	0.4431152688539021
Isolate_00028	0.15668552490188806	0.08532489256255854	0.1844001175885093	0.13892962361588385	0.18907498508297887
Isolate_00033	0.6456829781122844	0.29453113320422286	0.4770264233373121	0.46302677093336136	0.9306103251757439
Isolate_00052A	0.9848954779819022	0.36629764015940186	0.40329176587090365	0.38365836678667553	0.5335737228578105
Isolate_00062	0.1547457602654852	0.1684923866086137	0.21744572509638355	0.18706920973918037	0.305496745619176
Isolate_00064	0.17209830214695063	0.14297619753728213	0.23190681985691125	0.1897399394795182	0.28475830086854004
Isolate_00065	0.10147747610810032	0.13677862116933184	0.15215683417592824	0.16830825881200312	0.2210016326585928
Isolate_00072A	0.0668490094585413	0.1177164219690515	0.17439775926172943	0.15663726708460168	0.2977572195574949
Isolate_00073	0.15406008768711305	0.17486459850257258	0.2665074498784345	0.2423904657322826	0.4201415835824221
Isolate_00102	0.27452553362816196	0.27580058092877113	0.47177339184573686	0.4076919256747625	0.5497630789319108
Isolate_00160B	0.19371363096475494	0.864387806932804	0.12966625455142955	0.10469905107929013	0.173178156117887
Isolate_00164	0.14773652472344714	0.19356477744442135	0.26631997003329755	0.2349873547410026	0.4046708621509967
Isolate_00201	0.1183946255753797	0.06600739200049154	0.12560121169991353	0.09171336372990734	0.12306501490575125
Isolate_00201A	0.11865636170481908	0.05275007468508435	0.1338458270349901	0.09560936650977005	0.1158837049532612
Isolate_00204	0.12244082296280795	0.10239514776915919	0.19803595274372543	0.1715845903432506	0.27651144296651653
Isolate_00204C	0.11812891992980598	0.09806801644306609	0.18573951520958637	0.16407925013062588	0.2628722007602496
Isolate_00212C	0.11558522807720707	0.21622021126531912	0.3146983446841684	0.4332072432217823	0.5489143965834575
Isolate_00214	0.11667744269095078	0.0688294859095241	0.1243782536526953	0.09690004637635659	0.12396156625482128
Isolate_00216B	0.10434475555339259	0.04303604131402295	0.1116654919480106	0.08341308575265442	0.10514099608697956
Isolate_00249	0.08235544654428864	0.1658287526469655	0.23441647971973079	0.2140728160063799	0.4342681844616719
Isolate_00252A	0.15071390217413108	0.1854395446613452	0.2723701279986615	0.24052876396763653	0.3563788057961438
Isolate_00253	0.13852854200236647	0.17347106234020201	0.21860266876959328	0.18793166453372911	0.31798888296686695
Isolate_00254	0.11643953973355613	0.060966609786185635	0.12724182747966403	0.09159260635077805	0.11460292127628788
Isolate_00255	0.1996338769451115	0.23501473946302867	0.30176553218880364	0.27097706222641965	0.4283069032953793
Isolate_00259	0.48411603350083615	0.3463710509157151	0.5955491334605678	0.6334758182142141	0.9650662376254951
Isolate_00260	0.06705936195461276	0.11483917382233404	0.17311077619697263	0.15307513462548072	0.2810112412244836
